ts	phase	decision	why	evidence	result
2026-09-05T08:37:31Z	docs	updated current architecture for ExecutionSecurityService and ModelGateway	the docs still described the deleted ModelRouter and plugin usage writer	README.md, docs/architecture.md	updated
2026-09-05T17:43:46Z	review	fixed four high-confidence execution-security defects found by independent review	released output needed durable provenance; uncertain prompts and agent children needed fail-closed recovery; long tool IDs needed bounded provenance	packages/kernel/src/{model-gateway,tool-service}.ts, plugins/graphs/src/executor.ts	VERIFIED targeted regressions and full suite passed
2026-09-05T17:43:46Z	mcp	made remote MCP annotations advisory and blocked automatic replay	a server must not grant itself approval or declare an uncertain call safe to repeat	plugins/mcp/src/ids.ts, plugins/mcp/test/{ids,catalog,stdio}.test.ts, tests/e2e/slice-8-mcp.spec.ts	VERIFIED focused tests and Electron round trip passed
2026-09-05T17:43:46Z	mcp	required HTTPS for MCP header secrets except loopback development URLs	credentials must not cross plaintext remote HTTP	packages/contracts/src/index.ts, plugins/mcp/test/settings-draft.test.ts	VERIFIED HTTP remote rejected; HTTPS and loopback accepted
2026-09-05T17:43:46Z	delivery	added macOS CI, coverage thresholds, and an unsigned alpha package workflow	the project had no durable gate or installable artifact	.github/workflows, vitest.config.mts, scripts/package-macos.mjs, scripts/verify-packaged-app.mjs	VERIFIED 133 MB archive launched through setup and rendered a graph
2026-09-05T17:43:46Z	final	ran the full task predicate after review fixes	the final check had to cover source, Electron behavior, and the packaged artifact	task-final-typecheck.log, task-final-coverage.log, task-final-e2e.log, task-final-package-smoke.log	501 unit tests, 36 Electron tests, coverage gate, package smoke passed
2026-09-05T17:53:34Z	audit	recorded that the five 17:43 rows were a retrospective batch after the shared verification run	the identical timestamps hid the order of those already-completed decisions	decisions.tsv, docs/verification/execution-security-2026-09-05.md	trail clarified
2026-09-05T17:53:34Z	final	reran the full predicate after independent review fixes and added a committed verification record	the review found replay, graph recovery, cancellation, provenance, and chat crash-window gaps that needed direct tests	docs/verification/execution-security-2026-09-05.md	502 unit tests, 36 Electron tests, coverage gate, package smoke passed
2026-09-07T03:44:43Z	frame	overnight predicate: PR 6 independently verified and on main, remaining plugin-only follow-ons landed or declined in this log, no red agent PRs	user going to bed, continue the project, land verified work, stop if stuck after 4 hours	init-spec.md definition of done, PR 6, autonomous-run.md	IN PROGRESS
2026-09-07T03:44:44Z	frame	Orchestrate skipped in favor of Autonomous run	one overnight session one agent, ceremony would cost more than the remaining units	playbooks/orchestrate.md step 1 collapse rule	open
2026-09-07T03:54:13Z	ship	land PR 6 IMAP settings after independent PASS+NOTES	user asked to continue and land verified work while asleep	PR 6 7957bd3 patch-id 94a887f25b414007f0980473bcc4992c3417a037 CI 34062061375	landing
2026-09-07T03:54:35Z	ship	PR 6 merged as a02f085 IMAP settings on main	independent PASS+NOTES plus review with empty issues plus CI SUCCESS	https://github.com/danielgerlag/borg-agent/pull/6 a02f085d2c74abe9b5743c438bed0ebaa5923ce2	on main
2026-09-07T03:54:57Z	decline	do not add extra empty Flight Deck widgets overnight	A2A already added a widget; empty widgets do not earn a place	init-spec.md Slice 12 extra widgets, plugins/a2a/src/ui.tsx	declined
2026-09-07T03:54:57Z	decline	do not add OpenRouter Azure Ollama Copilot overnight	OpenAI just landed; extra providers are Slice 7 Out follow-ons and would duplicate the twin without a user request	init-spec.md Slice 7 Out, PR 5	declined
2026-09-07T03:54:57Z	next	start kernel TLS client plus real IMAP as the remaining connector gap	settings can store a password but still cannot receive mail; that is the user-visible hole	docs/architecture.md SocketService named missing, plugins/channel-imap fake transport	in progress
2026-09-07T04:07:21Z	architecture	pick standalone TlsService (candidate A) over unifying NetworkService	HTTP fetch and TLS duplex are different shapes; WebSocketService is already a sibling; unifying overnight would restack working WS code	tls-design-A.md vs tls-design-B.md	open
2026-09-07T04:20:33Z	loop	overnight predicate PASS on this 30-minute iteration	PR 6 is merged, IMAP settings UI is on origin/main, plugin-only follow-ons are declined, and no agent PR is open	PR 6 a02f085 plugins/channel-imap/src/ui.tsx origin/main 9144d7d open PRs none CI 34081943647 success	PASS
2026-09-07T04:20:33Z	stop	do not implement TlsService or OAuth in this overnight run	both need a new kernel API; the 4-hour stuck cap started about 2026-09-06T21:50Z and has elapsed	architecture pick 2026-09-07T04:07:21Z, init-spec.md remaining connectors, now 2026-09-07T04:15Z	stopped
2026-09-07T04:20:33Z	final	close overnight autonomous run as PASS and cancel the 30-minute scheduler	all five predicate checks hold; remaining work is kernel TLS/IMAP wire or OAuth connectors, which this run must not start after the cap	decisions.tsv overnight rows, origin/main 9144d7d, scheduler 01a079f7e3227012b3a9323d90a4aad4	PASS closed
